BoroCD,SchoolDist
410,27.0
480,30.0
104,2.0
107,3.0
595,31.0
317,18.0
409,27.0
413,29.0
483,27.0
226,10.0
313,21.0
482,24.0
202,8.0
205,10.0
305,19.0
318,22.0
403,30.0
404,24.0
105,2.0
407,25.0
411,26.0
106,2.0
110,5.0
164,3.0
302,13.0
303,13.0
203,9.0
501,31.0
109,5.0
502,31.0
503,31.0
312,20.0
314,22.0
103,1.0
301,14.0
414,27.0
408,26.0
412,29.0
204,9.0
206,12.0
227,10.0
207,10.0
356,
484,
310,20.0
101,2.0
102,2.0
401,30.0
402,24.0
108,2.0
211,11.0
209,8.0
307,15.0
112,6.0
208,10.0
405,24.0
306,15.0
311,21.0
315,22.0
355,17.0
406,28.0
481,25.0
212,11.0
308,17.0
309,17.0
210,8.0
228,11.0
111,4.0
201,7.0
304,32.0
316,23.0
