GEOID,CountyFIPS,BoroCode,BoroName,BoroCT2020,CT2020,CTLabel,CCD2023
36005001901,005,2,Bronx,2001901,001901,19.01,08
36005001902,005,2,Bronx,2001902,001902,19.02,08
36005001903,005,2,Bronx,2001903,001903,19.03,08
36005002300,005,2,Bronx,2002300,002300,23,08
36005002500,005,2,Bronx,2002500,002500,25,08
36005002701,005,2,Bronx,2002701,002701,27.01,08
36005002702,005,2,Bronx,2002702,002702,27.02,08
36005003100,005,2,Bronx,2003100,003100,31,08
36005003300,005,2,Bronx,2003300,003300,33,08
36005003500,005,2,Bronx,2003500,003500,35,08
36005003700,005,2,Bronx,2003700,003700,37,08
36005003900,005,2,Bronx,2003900,003900,39,08
36005004100,005,2,Bronx,2004100,004100,41,08
36005004300,005,2,Bronx,2004300,004300,43,08
36005005100,005,2,Bronx,2005100,005100,51,08
36005006500,005,2,Bronx,2006500,006500,65,17
36005006700,005,2,Bronx,2006700,006700,67,17
36005006900,005,2,Bronx,2006900,006900,69,17
36005007100,005,2,Bronx,2007100,007100,71,17
36005007300,005,2,Bronx,2007300,007300,73,08
36005007500,005,2,Bronx,2007500,007500,75,17
36005007700,005,2,Bronx,2007700,007700,77,17
36005007900,005,2,Bronx,2007900,007900,79,08
36005008900,005,2,Bronx,2008900,008900,89,17
36005009301,005,2,Bronx,2009301,009301,93.01,17
36005009302,005,2,Bronx,2009302,009302,93.02,17
36005011502,005,2,Bronx,2011502,011502,115.02,17
36005011701,005,2,Bronx,2011701,011701,117.01,17
36005011702,005,2,Bronx,2011702,011702,117.02,17
36005008300,005,2,Bronx,2008300,008300,83,17
36005008500,005,2,Bronx,2008500,008500,85,17
36005008700,005,2,Bronx,2008700,008700,87,17
36005011900,005,2,Bronx,2011900,011900,119,17
36005012102,005,2,Bronx,2012102,012102,121.02,17
36005012701,005,2,Bronx,2012701,012701,127.01,17
36005012901,005,2,Bronx,2012901,012901,129.01,17
36005013100,005,2,Bronx,2013100,013100,131,17
36005015900,005,2,Bronx,2015900,015900,159,17
36005001904,005,2,Bronx,2001904,001904,19.04,17
36005013300,005,2,Bronx,2013300,013300,133,17
36005013500,005,2,Bronx,2013500,013500,135,17
36005014100,005,2,Bronx,2014100,014100,141,17
36005014900,005,2,Bronx,2014900,014900,149,17
36005015100,005,2,Bronx,2015100,015100,151,17
36005018501,005,2,Bronx,2018501,018501,185.01,16
36005018502,005,2,Bronx,2018502,018502,185.02,17
36005014500,005,2,Bronx,2014500,014500,145,16
36005014701,005,2,Bronx,2014701,014701,147.01,16
36005014702,005,2,Bronx,2014702,014702,147.02,16
36005016500,005,2,Bronx,2016500,016500,165,15
36005016700,005,2,Bronx,2016700,016700,167,15
36005016900,005,2,Bronx,2016900,016900,169,16
36005012101,005,2,Bronx,2012101,012101,121.01,17
36005012300,005,2,Bronx,2012300,012300,123,17
36005012500,005,2,Bronx,2012500,012500,125,17
36005015300,005,2,Bronx,2015300,015300,153,17
36005015500,005,2,Bronx,2015500,015500,155,15
36005015700,005,2,Bronx,2015700,015700,157,17
36005016100,005,2,Bronx,2016100,016100,161,17
36005016300,005,2,Bronx,2016300,016300,163,15
36005005902,005,2,Bronx,2005902,005902,59.02,16
36005006100,005,2,Bronx,2006100,006100,61,16
36005006301,005,2,Bronx,2006301,006301,63.01,16
36005014300,005,2,Bronx,2014300,014300,143,16
36005017300,005,2,Bronx,2017300,017300,173,16
36005017500,005,2,Bronx,2017500,017500,175,16
36005017701,005,2,Bronx,2017701,017701,177.01,16
36005017901,005,2,Bronx,2017901,017901,179.01,16
36005018101,005,2,Bronx,2018101,018101,181.01,16
36005018102,005,2,Bronx,2018102,018102,181.02,16
36005018301,005,2,Bronx,2018301,018301,183.01,16
36005018302,005,2,Bronx,2018302,018302,183.02,16
36005019500,005,2,Bronx,2019500,019500,195,16
36005019700,005,2,Bronx,2019700,019700,197,16
36005018900,005,2,Bronx,2018900,018900,189,16
36005019300,005,2,Bronx,2019300,019300,193,16
36005019900,005,2,Bronx,2019900,019900,199,16
36005020100,005,2,Bronx,2020100,020100,201,16
