Geo Dist,Bldg ID,Bldg Name,Bldg Enroll,Target Bldg Cap,Target Bldg Util,Org ID,Incl. Class,Organization Name,Org Enroll,Org Target Cap,Org Target Util,PreK Cap +,No. of Cluster / Spec Rms Reported +,No. of Cluster Rms Needed +,Data As Of
1,M015,P.S. 15 - M,254,416,61,M015,  ,P.S. 15 - M,190,315,60,36,4,2,04/27/2015
1,M015,P.S. 15 - M,,,,M094,* ,M094 SPED - M,64,101,63,,,,04/27/2015
1,M015,P.S. 15 - M,,,,MCBO,  ,EDUCATION ALLIANCE - M,,,,,,,04/27/2015
1,M019,P.S. 19 - M,443,687,64,M019,  ,P.S. 19 - M,285,395,72,36,2,3,04/27/2015
1,M019,P.S. 19 - M,,,,M301,  ,I.S. 301 - M,158,292,54,,0,0,04/27/2015
1,M020,P.S. 20 - M,631,826,76,M020,  ,P.S. 20 - M,631,826,76,53,9,3,04/27/2015
1,M020,P.S. 20 - M,,,,MCBO,  ,ED ALLIANCE/DISTRICT 1 OFFICE-M,,,,,,,04/27/2015
1,M020,P.S. 20 - M,,,,MSFS,  ,FOOD SERVICES - M,,,,,,,04/27/2015
1,M022,N.E.S.T (OLD J22) - M,1725,1610,107,M539,  ,NEW EXPLORATIONS - M,1725,1610,107,0,11,5,04/27/2015
1,M025,J.H.S. 25 - M,1196,1664,72,M378,  ,I.S. 378 - M,244,343,71,,0,0,04/27/2015
1,M025,J.H.S. 25 - M,,,,M509,  ,MARTE VALLE HS - M,401,586,68,,10,0,04/27/2015
1,M025,J.H.S. 25 - M,,,,M515,  ,LOWER EAST SIDE PREP HS - M,551,735,75,,4,0,04/27/2015
1,M034,P.S. 34 - M,393,409,96,M034,  ,P.S. 34 - M,393,409,96,18,0,3,04/27/2015
1,M056,J.H.S. 56 - M,726,1464,50,M080,  ,MANHATTAN CHARTER SCHOOL II,140,140,100,0,0,1,04/27/2015
1,M056,J.H.S. 56 - M,,,,M292,  ,J.H.S. 292 - M,320,804,40,,8,0,04/27/2015
1,M056,J.H.S. 56 - M,,,,M332,  ,I.S. 332 - M,100,183,55,,2,0,04/27/2015
1,M056,J.H.S. 56 - M,,,,M345,  ,I.S. 345 - M,166,337,49,,4,0,04/27/2015
1,M060,J.H.S. 60 - M,876,1118,78,M330,  ,GIRLS PREP CHARTER SCHOOL - M,227,286,79,,,,04/27/2015
1,M060,J.H.S. 60 - M,,,,M450,  ,EASTSIDE COMMUNITY HS - M,649,832,78,,4,0,04/27/2015
1,M060,J.H.S. 60 - M,,,,MCBO,  ,BEACON PROGRAM - M,,,,,,,04/27/2015
1,M061,P.S. 61 - M,590,512,115,M094,* ,M094 SPED - M,56,88,64,,,,04/27/2015
1,M061,P.S. 61 - M,,,,M315,  ,P.S. 315 - M,276,207,133,36,1,3,04/27/2015
1,M061,P.S. 61 - M,,,,M361,  ,P.S. 361 - M,258,217,119,36,1,3,04/27/2015
1,M063,P.S. 63 - M,479,654,73,M063,  ,P.S. 63 - M,179,325,55,18,4,2,04/27/2015
1,M063,P.S. 63 - M,,,,M363,  ,P.S. 363 - M,300,329,91,18,2,3,04/27/2015
1,M064,P.S. 64 (OLD 71) - M,982,990,99,M064,  ,P.S. 64 - M,287,306,94,36,2,3,04/27/2015
1,M064,P.S. 64 (OLD 71) - M,,,,M364,  ,P.S. 364 - M,318,254,125,18,1,3,04/27/2015
