Project ID,Project Name,Project Start Date,Project Completion Date,Building ID,Number,Street,Borough,Postcode,BBL,BIN,community_district,council_district,census_tract,NTA - Neighborhood Tabulation Area,Latitude,Longitude,Latitude (Internal),Longitude (Internal),Building Completion Date,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Unknown-BR Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
44218,MEC E. 125TH ST. PARCEL B WEST,12/31/2018,02/16/2022,987329.0,2319,3 AVENUE,Manhattan,10035.0,1017907501.0,1054682.0,111,8,000242,MN1102,40.804262,-73.935383,40.803837,-73.93504,02/16/2022,New Construction,No,Non Prevailing Wage,0,101,101,0,93,2,83,70,129,15,0,0,0,0,297,0,297,404
44223,ROCHESTER SUYDAM PHASE 1,06/30/2021,09/24/2024,927737.0,335,RALPH AVENUE,Brooklyn,11233.0,3015560003.0,3000000.0,303,41,000301,BK1601,40.677644,-73.921745,40.677474,-73.921492,09/24/2024,New Construction,No,Non Prevailing Wage,0,0,0,13,0,0,0,2,11,0,0,0,0,0,0,13,13,13
44223,ROCHESTER SUYDAM PHASE 1,06/30/2021,09/24/2024,969695.0,35,ROCHESTER AVENUE,Brooklyn,11233.0,3017090009.0,3000000.0,303,41,000299,BK0302,40.677925,-73.927466,40.677886,-73.927181,06/11/2024,New Construction,No,Non Prevailing Wage,0,0,0,2,6,0,0,2,6,0,0,0,0,0,0,8,8,8
44223,ROCHESTER SUYDAM PHASE 1,06/30/2021,09/24/2024,975702.0,18-22,SUYDAM PLACE,Brooklyn,11233.0,3017090028.0,3000000.0,303,41,000299,BK0302,40.677823,-73.926554,40.677782,-73.926828,03/05/2024,New Construction,No,Non Prevailing Wage,0,0,0,14,1,0,0,14,1,0,0,0,0,0,0,15,15,15
44223,ROCHESTER SUYDAM PHASE 1,06/30/2021,09/24/2024,977564.0,329,RALPH AVENUE,Brooklyn,11233.0,3015560007.0,3000000.0,303,41,000301,BK1601,40.677798,-73.92173,40.677663,-73.921474,07/24/2024,New Construction,No,Non Prevailing Wage,0,0,0,10,0,0,0,3,7,0,0,0,0,0,0,10,10,10
44225,Brook Avenue Apartments,06/27/2014,12/28/2016,927748.0,469,EAST 147 STREET,Bronx,10455.0,2022927501.0,2129098.0,201,8,000043,BX0101,40.813854,-73.9164,40.81401,-73.916234,12/23/2016,New Construction,No,Non Prevailing Wage,0,0,11,0,0,0,0,1,10,0,0,0,0,0,11,0,11,11
44225,Brook Avenue Apartments,06/27/2014,12/28/2016,955261.0,455,EAST 147 STREET,Bronx,10455.0,2022927501.0,2000000.0,201,8,000043,BX0101,40.813948,-73.916682,40.81401,-73.916234,12/28/2016,New Construction,No,Non Prevailing Wage,0,14,40,0,0,1,7,35,12,1,0,0,0,0,55,0,55,55
44230,Mermaid  / West. 16th Street,06/30/2015,07/21/2017,336111.0,2427,MERMAID AVENUE,Brooklyn,11224.0,3070140053.0,3426941.0,313,47,000326,BK1302,40.575896,-73.99149,40.576064,-73.992106,05/03/2017,New Construction,No,Non Prevailing Wage,0,0,0,3,0,0,0,0,1,2,0,0,0,0,2,1,3,3
44230,Mermaid  / West. 16th Street,06/30/2015,07/21/2017,336151.0,3216,MERMAID AVENUE,Brooklyn,11224.0,3070480006.0,3413815.0,313,47,000342,BK1302,40.575062,-73.998834,40.574796,-73.999075,05/04/2017,New Construction,No,Non Prevailing Wage,0,0,0,3,0,0,0,0,1,2,0,0,0,0,2,1,3,3
44230,Mermaid  / West. 16th Street,06/30/2015,07/21/2017,394346.0,2816,WEST 16 STREET,Brooklyn,11224.0,3070210016.0,3425388.0,313,47,000326,BK1302,40.57844,-73.984045,40.578473,-73.984366,05/03/2017,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,0,1,2,0,0,0,0,2,1,3,3
