school_district,Bldg ID,Bldg Name,Bldg Enroll,Target Bldg Cap,Target Bldg Util,Org ID,Incl. Class,Organization Name,Org Enroll,Org Target Cap,Org Target Util,PreK Cap +,No. of Cluster / Spec Rms Reported +,No. of Cluster Rms Needed +,Data As Of
1,M015,P.S. 15 - M,254.0,416.0,61.0,M015,  ,P.S. 15 - M,190.0,315.0,60.0,36.0,4.0,2.0,04/27/2015
1,M015,P.S. 15 - M,,,,M094,* ,M094 SPED - M,64.0,101.0,63.0,,,,04/27/2015
1,M015,P.S. 15 - M,,,,MCBO,  ,EDUCATION ALLIANCE - M,,,,,,,04/27/2015
1,M019,P.S. 19 - M,443.0,687.0,64.0,M019,  ,P.S. 19 - M,285.0,395.0,72.0,36.0,2.0,3.0,04/27/2015
1,M019,P.S. 19 - M,,,,M301,  ,I.S. 301 - M,158.0,292.0,54.0,,0.0,0.0,04/27/2015
1,M020,P.S. 20 - M,631.0,826.0,76.0,M020,  ,P.S. 20 - M,631.0,826.0,76.0,53.0,9.0,3.0,04/27/2015
1,M020,P.S. 20 - M,,,,MCBO,  ,ED ALLIANCE/DISTRICT 1 OFFICE-M,,,,,,,04/27/2015
1,M020,P.S. 20 - M,,,,MSFS,  ,FOOD SERVICES - M,,,,,,,04/27/2015
1,M022,N.E.S.T (OLD J22) - M,1725.0,1610.0,107.0,M539,  ,NEW EXPLORATIONS - M,1725.0,1610.0,107.0,0.0,11.0,5.0,04/27/2015
1,M025,J.H.S. 25 - M,1196.0,1664.0,72.0,M378,  ,I.S. 378 - M,244.0,343.0,71.0,,0.0,0.0,04/27/2015
1,M025,J.H.S. 25 - M,,,,M509,  ,MARTE VALLE HS - M,401.0,586.0,68.0,,10.0,0.0,04/27/2015
1,M025,J.H.S. 25 - M,,,,M515,  ,LOWER EAST SIDE PREP HS - M,551.0,735.0,75.0,,4.0,0.0,04/27/2015
1,M034,P.S. 34 - M,393.0,409.0,96.0,M034,  ,P.S. 34 - M,393.0,409.0,96.0,18.0,0.0,3.0,04/27/2015
1,M056,J.H.S. 56 - M,726.0,1464.0,50.0,M080,  ,MANHATTAN CHARTER SCHOOL II,140.0,140.0,100.0,0.0,0.0,1.0,04/27/2015
1,M056,J.H.S. 56 - M,,,,M292,  ,J.H.S. 292 - M,320.0,804.0,40.0,,8.0,0.0,04/27/2015
1,M056,J.H.S. 56 - M,,,,M332,  ,I.S. 332 - M,100.0,183.0,55.0,,2.0,0.0,04/27/2015
1,M056,J.H.S. 56 - M,,,,M345,  ,I.S. 345 - M,166.0,337.0,49.0,,4.0,0.0,04/27/2015
1,M060,J.H.S. 60 - M,876.0,1118.0,78.0,M330,  ,GIRLS PREP CHARTER SCHOOL - M,227.0,286.0,79.0,,,,04/27/2015
1,M060,J.H.S. 60 - M,,,,M450,  ,EASTSIDE COMMUNITY HS - M,649.0,832.0,78.0,,4.0,0.0,04/27/2015
1,M060,J.H.S. 60 - M,,,,MCBO,  ,BEACON PROGRAM - M,,,,,,,04/27/2015
1,M061,P.S. 61 - M,590.0,512.0,115.0,M094,* ,M094 SPED - M,56.0,88.0,64.0,,,,04/27/2015
1,M061,P.S. 61 - M,,,,M315,  ,P.S. 315 - M,276.0,207.0,133.0,36.0,1.0,3.0,04/27/2015
1,M061,P.S. 61 - M,,,,M361,  ,P.S. 361 - M,258.0,217.0,119.0,36.0,1.0,3.0,04/27/2015
1,M063,P.S. 63 - M,479.0,654.0,73.0,M063,  ,P.S. 63 - M,179.0,325.0,55.0,18.0,4.0,2.0,04/27/2015
1,M063,P.S. 63 - M,,,,M363,  ,P.S. 363 - M,300.0,329.0,91.0,18.0,2.0,3.0,04/27/2015
1,M064,P.S. 64 (OLD 71) - M,982.0,990.0,99.0,M064,  ,P.S. 64 - M,287.0,306.0,94.0,36.0,2.0,3.0,04/27/2015
1,M064,P.S. 64 (OLD 71) - M,,,,M364,  ,P.S. 364 - M,318.0,254.0,125.0,18.0,1.0,3.0,04/27/2015
1,M064,P.S. 64 (OLD 71) - M,,,,M839,  ,I.S. 839 - M,377.0,430.0,88.0,,5.0,0.0,04/27/2015
1,M064,P.S. 64 (OLD 71) - M,,,,MCBO,  ,EDUCATIONAL ALLIANCE - M,,,,,,,04/27/2015
1,M064,P.S. 64 (OLD 71) - M,,,,MCEP,  ,ADULT EDUCATION - M,,,,,,,04/27/2015
