community_district,council_district,Year of Completion,ZoningDst1,FloorsProp,ClassANet_sum,AllCountedUnits_sum
101.0,1.0,1970,BPC,9.0,0.0,0.0
101.0,1.0,1970,BPC,27.0,-3.0,0.0
101.0,1.0,1970,BPC,34.0,0.0,0.0
101.0,1.0,1970,C2-6A,4.0,2.0,0.0
101.0,1.0,1970,C2-6A,7.0,6.0,0.0
101.0,1.0,1970,C4-6,5.0,0.0,0.0
101.0,1.0,1970,C4-6A,5.0,1.0,0.0
101.0,1.0,1970,C5-3,7.0,0.0,0.0
101.0,1.0,1970,C5-3,8.0,0.0,0.0
101.0,1.0,1970,C5-3,26.0,0.0,0.0
101.0,1.0,1970,C5-3,31.0,0.0,0.0
101.0,1.0,1970,C5-3,32.0,22.0,0.0
101.0,1.0,1970,C5-3,33.0,0.0,0.0
101.0,1.0,1970,C5-3,58.0,32.0,0.0
101.0,1.0,1970,C5-3,70.0,346.0,0.0
101.0,1.0,1970,C5-5,4.0,1.0,0.0
101.0,1.0,1970,C5-5,5.0,0.0,0.0
101.0,1.0,1970,C5-5,6.0,6.0,0.0
101.0,1.0,1970,C5-5,7.0,-21.0,0.0
101.0,1.0,1970,C5-5,15.0,16.0,0.0
101.0,1.0,1970,C5-5,16.0,0.0,0.0
101.0,1.0,1970,C5-5,19.0,14.0,0.0
101.0,1.0,1970,C5-5,20.0,-121.0,0.0
101.0,1.0,1970,C5-5,21.0,-37.0,0.0
101.0,1.0,1970,C5-5,23.0,30.0,0.0
101.0,1.0,1970,C5-5,25.0,0.0,0.0
101.0,1.0,1970,C5-5,27.0,0.0,0.0
101.0,1.0,1970,C5-5,29.0,803.0,0.0
101.0,1.0,1970,C5-5,30.0,443.0,0.0
101.0,1.0,1970,C5-5,31.0,57.0,0.0
101.0,1.0,1970,C5-5,32.0,93.0,0.0
101.0,1.0,1970,C5-5,34.0,209.0,0.0
101.0,1.0,1970,C5-5,35.0,416.0,0.0
101.0,1.0,1970,C5-5,37.0,0.0,0.0
101.0,1.0,1970,C5-5,38.0,0.0,0.0
101.0,1.0,1970,C5-5,40.0,90.0,0.0
101.0,1.0,1970,C5-5,43.0,0.0,0.0
101.0,1.0,1970,C5-5,47.0,87.0,0.0
101.0,1.0,1970,C5-5,50.0,110.0,0.0
101.0,1.0,1970,C5-5,51.0,566.0,0.0
101.0,1.0,1970,C5-5,64.0,669.0,0.0
101.0,1.0,1970,C5-5,66.0,1357.0,0.0
101.0,1.0,1970,C5-5,72.0,272.0,0.0
101.0,1.0,1970,C6-2,8.0,12.0,0.0
101.0,1.0,1970,C6-2A,3.0,1.0,0.0
101.0,1.0,1970,C6-2A,4.0,11.0,0.0
